method,importance_mode,val_ams,test_ams,test_auc,threshold,fit_time,pred_time
Gradient Boosting,n/a,0.7283365096246088,1.0230250037933395,0.9108733330101845,0.011,292.6066355705261,0.3960154056549072
Single-Step Projector,n/a,0.5288631252929773,0.7374758952080032,0.8746937416292655,0.005,1.5330567359924316,0.11568379402160645
Adaptive Geometric Jumps,n/a,0.42041375993224406,0.5838600014265031,0.8251499567217777,0.487,1.5574760437011719,0.379413366317749
GB-Informed Boson-Fold,lambda,0.3321386512505881,0.45406496310709826,0.7611976530182472,0.501,1.2894699573516846,0.5693478584289551
